GamePk,Date,Venue,Humidity,Pressure,Precip
413759,2015-04-14,AT&T Park,57,1022.4,0.0
413760,2015-04-14,PNC Park,60,992.8,0.0
413761,2015-04-14,Turner Field,62,983.0,0.0
413762,2015-04-14,Oriole Park at Camden Yards,85,1018.6,0.2
413763,2015-04-14,Daikin Park,74,1012.3,0.0
413764,2015-04-14,Citi Field,74,1018.5,0.0
413765,2015-04-14,Dodger Stadium,42,996.7,0.0
413766,2015-04-14,Rogers Centre,42,1012.4,0.0
413767,2015-04-14,Fenway Park,67,1017.3,0.0
413768,2015-04-15,Globe Life Park in Arlington,58,996.1,0.0
413769,2015-04-15,Petco Park,58,1010.4,0.0
413770,2015-04-15,Progressive Field,40,1003.4,0.0
413771,2015-04-15,Wrigley Field,62,999.3,0.0
413772,2015-04-15,AT&T Park,46,1014.9,0.0
413773,2015-04-15,PNC Park,55,997.2,0.0
413774,2015-04-15,Target Field,33,989.0,0.0
413775,2015-04-15,Turner Field,97,984.7,4.5
413776,2015-04-15,Busch Stadium,72,999.0,0.2
413777,2015-04-15,Oriole Park at Camden Yards,53,1023.5,0.0
413778,2015-04-15,Daikin Park,84,1011.3,0.0
413779,2015-04-15,Citi Field,47,1022.7,0.0
413780,2015-04-15,Dodger Stadium,14,993.8,0.0
413781,2015-04-15,Rogers Centre,55,1018.9,0.0
413782,2015-04-15,Fenway Park,32,1018.8,0.0
413783,2015-04-16,AT&T Park,40,1013.5,0.0
413784,2015-04-16,Target Field,52,987.1,0.0
413785,2015-04-16,Citi Field,72,1026.0,0.0
413786,2015-04-16,Busch Stadium,64,1001.3,0.0
413787,2015-04-16,Nationals Park,55,1024.4,0.0
413788,2015-04-16,Rogers Centre,85,1011.8,1.5
413789,2015-04-17,Daikin Park,90,1009.5,9.3
413790,2015-04-17,AT&T Park,64,1014.8,0.0
413791,2015-04-17,Rogers Centre,63,1004.9,0.0
413792,2015-04-17,Fenway Park,73,1010.3,0.0
413793,2015-04-17,Comerica Park,58,997.4,0.0
413794,2015-04-17,Busch Stadium,60,998.2,0.0
413795,2015-04-17,Target Field,41,986.1,0.0
413796,2015-04-17,Dodger Stadium,16,996.5,0.0
413797,2015-04-17,Citi Field,74,1012.1,0.0
413798,2015-04-17,PNC Park,70,989.0,0.0
413799,2015-04-17,Tropicana Field,78,1012.8,0.0
413800,2015-04-17,Kauffman Stadium,70,983.0,0.2
413801,2015-04-17,Nationals Park,65,1013.0,0.0
413802,2015-04-17,Wrigley Field,58,995.6,0.0
413803,2015-04-17,Safeco Field,65,1021.8,0.0
413804,2015-04-18,Daikin Park,78,1005.0,0.7999999999999999
