Year,Team,TeamId,TeamName,OAA,OAA_per162
2024,MIA,146,Marlins,-38,-38.0
2024,MIL,158,Brewers,29,29.0
2024,MIN,142,Twins,3,3.0
2024,NYM,121,Mets,4,4.0
2024,NYY,147,Yankees,10,10.0
2024,OAK,133,Athletics,-47,-47.0
2024,PHI,143,Phillies,7,7.0
2024,PIT,134,Pirates,-15,-15.0
2024,SD,135,Padres,5,5.0
2024,SEA,136,Mariners,-16,-16.0
2024,SF,137,Giants,-7,-7.0
2024,STL,138,Cardinals,13,13.0
2024,TB,139,Rays,4,4.0
2024,TEX,140,Rangers,26,26.0
2024,TOR,141,Blue Jays,24,24.0
2024,WSH,120,Nationals,-21,-21.0
2025,ATH,133,Athletics,-15,-15.0
2025,ATL,144,Braves,4,4.0
2025,AZ,109,D-backs,8,8.0
2025,BAL,110,Orioles,-24,-24.0
2025,BOS,111,Red Sox,9,9.0
2025,CHC,112,Cubs,36,36.0
2025,CIN,113,Reds,-1,-1.0
2025,CLE,114,Guardians,-1,-1.0
2025,COL,115,Rockies,-26,-26.0
2025,CWS,145,White Sox,-24,-24.0
2025,DET,116,Tigers,-1,-1.0
2025,HOU,117,Astros,31,31.0
2025,KC,118,Royals,31,31.0
2025,LAA,108,Angels,-54,-54.0
2025,LAD,119,Dodgers,14,14.0
2025,MIA,146,Marlins,17,17.0
2025,MIL,158,Brewers,33,33.0
2025,MIN,142,Twins,-11,-11.0
2025,NYM,121,Mets,-13,-13.0
2025,NYY,147,Yankees,-4,-4.0
2025,PHI,143,Phillies,10,10.0
2025,PIT,134,Pirates,18,18.0
2025,SD,135,Padres,-7,-7.0
2025,SEA,136,Mariners,-27,-27.0
2025,SF,137,Giants,-24,-24.0
2025,STL,138,Cardinals,35,35.0
2025,TB,139,Rays,-31,-31.0
2025,TEX,140,Rangers,27,27.0
2025,TOR,141,Blue Jays,21,21.0
2025,WSH,120,Nationals,-33,-33.0
2026,ATH,133,Athletics,-26,-26.0
2026,ATL,144,Braves,11,11.0
2026,AZ,109,D-backs,29,29.0
2026,BAL,110,Orioles,-15,-15.0
2026,BOS,111,Red Sox,21,21.0
2026,CHC,112,Cubs,43,43.0
2026,CIN,113,Reds,5,5.0
2026,CLE,114,Guardians,9,9.0
2026,COL,115,Rockies,-9,-9.0
2026,CWS,145,White Sox,5,5.0
2026,DET,116,Tigers,-16,-16.0
2026,HOU,117,Astros,-1,-1.0
2026,KC,118,Royals,10,10.0
2026,LAA,108,Angels,-22,-22.0
2026,LAD,119,Dodgers,23,23.0
2026,MIA,146,Marlins,6,6.0
2026,MIL,158,Brewers,4,4.0
2026,MIN,142,Twins,-18,-18.0
2026,NYM,121,Mets,-18,-18.0
2026,NYY,147,Yankees,4,4.0
2026,PHI,143,Phillies,-17,-17.0
2026,PIT,134,Pirates,-13,-13.0
2026,SD,135,Padres,12,12.0
2026,SEA,136,Mariners,-27,-27.0
2026,SF,137,Giants,-6,-6.0
2026,STL,138,Cardinals,20,20.0
2026,TB,139,Rays,-13,-13.0
2026,TEX,140,Rangers,10,10.0
2026,TOR,141,Blue Jays,2,2.0
2026,WSH,120,Nationals,-9,-9.0
