PlayerId,Name,Bats,Throws
518617,Jake Diekman,R,L
518618,Derek Dietrich,L,R
518626,Josh Donaldson,R,R
518633,Danny Duffy,L,L
518649,Brett Eibner,R,R
518692,Freddie Freeman,L,R
518693,Sam Freeman,R,L
518715,Cory Gearrin,R,R
518735,Yasmani Grandal,S,R
518748,Justin Grimm,R,R
518774,Matt Harvey,R,R
518792,Jason Heyward,L,L
518813,Greg Holland,R,R
518858,Nate Jones,R,R
518876,Merrill Kelly,R,R
518886,Craig Kimbrel,R,R
518902,Pete Kozma,R,R
518934,DJ LeMahieu,R,R
518960,Jonathan Lucroy,R,R
519008,T.J. McFarland,L,L
519043,Matt Moore,L,L
519048,Mitch Moreland,L,L
519058,Mike Moustakas,L,R
519076,Jimmy Nelson,R,R
519141,Drew Pomeranz,R,L
519144,Rick Porcello,R,R
519151,Ryan Pressly,R,R
519203,Anthony Rizzo,L,L
519222,Austin Romine,R,R
519242,Chris Sale,L,L
519293,Will Smith,R,L
519299,Eric Sogard,L,R
519303,Elliot Soto,R,R
519306,Steven Souza Jr.,R,R
519317,Giancarlo Stanton,R,R
519326,Hunter Strickland,R,R
519346,Eric Thames,L,R
519381,Pat Venditte,L,S
519390,Stephen Vogt,L,R
519393,Marcus Walden,R,R
519443,Brandon Workman,R,R
519455,Jordan Zimmermann,R,R
520471,Freddy Galvis,S,R
520980,Pedro Báez,R,R
521230,Liam Hendriks,R,R
521655,Wilmer Font,R,R
521692,Salvador Perez,R,R
523253,Logan Forsythe,R,R
523260,Joe Kelly,R,R
527038,Wilmer Flores,R,R
527048,Martín Pérez,L,L
527049,César Puello,R,R
527054,Julio Teheran,R,R
527055,Arodys Vizcaíno,R,R
528748,Humberto Castellanos,R,R
532077,Roberto Osuna,R,R
533167,Matt Shoemaker,R,R
534606,Ryan LaMarre,R,L
534812,Kevin Quackenbush,R,R
534910,Jesse Hahn,R,R
541600,Wilfredo Tovar,R,R
541640,Erasmo Ramírez,R,R
541645,Avisaíl García,R,R
541650,Hernán Pérez,R,R
542194,Christian Bethancourt,R,R
542208,Carlos Pérez,R,R
542255,Ender Inciarte,L,L
542303,Marcell Ozuna,R,R
542340,Jonathan Villar,S,R
542364,Rafael Ortega,L,R
542454,Danny Santana,S,R
542583,Jesús Aguilar,R,R
542585,José Cisnero,R,R
542881,Tyler Anderson,L,L
542882,Matt Andriese,R,R
542888,Shawn Armstrong,R,R
542914,Anthony Bass,R,R
542921,Tim Beckham,R,R
542932,Jon Berti,R,R
542947,Richard Bleier,L,L
542960,Brad Brach,R,R
542963,Rob Brantly,L,R
542992,Andy Burns,R,R
543022,Tyler Chatwood,R,R
543037,Gerrit Cole,R,R
543045,Adam Conley,L,L
543056,Danny Coulombe,L,L
543063,Brandon Crawford,L,R
543068,C.J. Cron,R,R
543089,Taylor Davis,R,R
543101,Anthony DeSclafani,R,R
543105,Alex Dickerson,L,L
543118,Oliver Drake,R,R
543135,Nathan Eovaldi,R,R
543208,Sam Gaviglio,R,R
543219,Sean Gilmartin,L,L
543228,Yan Gomes,R,R
543238,Anthony Gose,L,L
543243,Sonny Gray,R,R
543257,Robbie Grossman,S,L
543258,Preston Guilmet,R,R
543272,Brad Hand,L,L
543278,Blaine Hardy,L,L
543281,Josh Harrison,R,R
543294,Kyle Hendricks,R,R
543305,Aaron Hicks,S,R
543308,John Hicks,R,R
543309,Kyle Higashioka,R,R
543333,Eric Hosmer,L,L
543339,Daniel Hudson,R,R
543351,Jay Jackson,R,R
543376,Caleb Joseph,R,R
543391,Casey Kelly,R,R
543401,Jason Kipnis,L,R
543432,Ryan Lavarnway,R,R
543456,Kyle Lobstein,L,L
543475,Jordan Lyles,R,R
543482,Drew Maggi,R,R
543483,Matt Magill,R,R
543507,Trevor May,R,R
543510,James McCann,R,R
543518,Scott McGough,R,R
543521,Collin McHugh,R,R
543543,Brad Miller,L,R
543548,Tommy Milone,L,L
543557,Mike Montgomery,L,L
543592,Austin Nola,R,R
543594,Sean Nolin,L,L
543606,Jake Odorizzi,R,R
543685,Anthony Rendon,R,R
543699,Tanner Roark,R,R
