GamePk,Season,Date,DayNight,AwayTeam,HomeTeam,AwayScore,HomeScore,Venue,Temp,Condition,WindSpeed,WindDir
413661,2015,2015-04-05,night,STL,CHC,3,0,Wrigley Field,44,Clear,7,In From CF
413649,2015,2015-04-06,day,LAA,SEA,1,4,Safeco Field,54,Cloudy,1,Varies
413650,2015,2015-04-06,day,ATL,MIA,2,1,loanDepot Park,80,Partly Cloudy,16,In From CF
413651,2015,2015-04-06,day,BAL,TB,6,2,Tropicana Field,72,Dome,0,None
413652,2015,2015-04-06,day,BOS,PHI,8,0,Citizens Bank Park,71,Partly Cloudy,11,Out To RF
413653,2015,2015-04-06,day,CWS,KC,1,10,Kauffman Stadium,59,Drizzle,6,R To L
413654,2015,2015-04-06,night,CLE,HOU,0,2,Daikin Park,79,Partly Cloudy,14,Out To LF
413655,2015,2015-04-06,day,COL,MIL,10,0,Miller Park,70,Roof Closed,0,None
413656,2015,2015-04-06,day,MIN,DET,0,4,Comerica Park,52,Partly Cloudy,5,R To L
413657,2015,2015-04-06,day,NYM,WSH,3,1,Nationals Park,76,Sunny,14,Out To CF
413658,2015,2015-04-06,day,PIT,CIN,2,5,Great American Ball Park,68,Overcast,15,Out To LF
413659,2015,2015-04-06,day,SD,LAD,3,6,Dodger Stadium,65,Partly Cloudy,1,Varies
413660,2015,2015-04-06,night,SF,AZ,5,4,Chase Field,81,Clear,7,L To R
413662,2015,2015-04-06,night,TEX,OAK,0,8,O.co Coliseum,56,Cloudy,17,Out To RF
413663,2015,2015-04-06,day,TOR,NYY,6,1,Yankee Stadium,54,Partly Cloudy,5,R To L
413664,2015,2015-04-07,night,LAA,SEA,2,0,Safeco Field,56,Partly Cloudy,3,Out To RF
413665,2015,2015-04-07,night,ATL,MIA,12,2,loanDepot Park,75,Roof Closed,0,None
413666,2015,2015-04-07,night,BAL,TB,6,5,Tropicana Field,72,Dome,0,None
413667,2015,2015-04-07,night,COL,MIL,5,2,Miller Park,64,Roof Closed,0,None
413668,2015,2015-04-07,night,SD,LAD,7,3,Dodger Stadium,57,Rain,1,Varies
413669,2015,2015-04-07,night,SF,AZ,6,7,Chase Field,79,Partly Cloudy,13,Out To RF
413670,2015,2015-04-07,night,TEX,OAK,3,1,O.co Coliseum,54,Partly Cloudy,16,Out To RF
413671,2015,2015-04-08,night,LAA,SEA,5,3,Safeco Field,60,Partly Cloudy,1,In From LF
413672,2015,2015-04-08,night,ATL,MIA,2,0,loanDepot Park,73,Roof Closed,0,None
413673,2015,2015-04-08,night,BAL,TB,0,2,Tropicana Field,72,Dome,0,None
413674,2015,2015-04-08,night,BOS,PHI,2,4,Citizens Bank Park,40,Cloudy,11,R To L
413675,2015,2015-04-08,night,CWS,KC,5,7,Kauffman Stadium,74,Cloudy,14,R To L
413676,2015,2015-04-08,night,CLE,HOU,2,0,Daikin Park,79,Cloudy,11,Out To LF
413677,2015,2015-04-08,night,COL,MIL,5,4,Miller Park,64,Roof Closed,0,None
413678,2015,2015-04-08,day,MIN,DET,0,11,Comerica Park,39,Cloudy,7,In From LF
413679,2015,2015-04-08,night,NYM,WSH,1,2,Nationals Park,46,Cloudy,6,Out To CF
413680,2015,2015-04-08,night,PIT,CIN,4,5,Great American Ball Park,64,Cloudy,2,L To R
413681,2015,2015-04-08,night,SD,LAD,4,7,Dodger Stadium,65,Clear,10,L To R
413682,2015,2015-04-08,night,SF,AZ,5,2,Chase Field,74,Clear,7,Out To RF
413684,2015,2015-04-08,night,TEX,OAK,0,10,O.co Coliseum,58,Partly Cloudy,10,Out To RF
413685,2015,2015-04-08,night,TOR,NYY,3,4,Yankee Stadium,44,Cloudy,17,L To R
413693,2015,2015-04-08,day,STL,CHC,0,2,Wrigley Field,46,Cloudy,6,In From CF
413686,2015,2015-04-09,night,BOS,PHI,6,2,Citizens Bank Park,42,Overcast,10,R To L
413687,2015,2015-04-09,day,CWS,KC,1,4,Kauffman Stadium,72,Partly Cloudy,18,L To R
413688,2015,2015-04-09,day,CLE,HOU,5,1,Daikin Park,73,Roof Closed,0,None
413689,2015,2015-04-09,day,MIN,DET,1,7,Comerica Park,59,Drizzle,13,R To L
413690,2015,2015-04-09,day,NYM,WSH,6,3,Nationals Park,47,Cloudy,8,Out To RF
413691,2015,2015-04-09,day,PIT,CIN,2,3,Great American Ball Park,73,Cloudy,13,R To L
413692,2015,2015-04-09,day,SF,SD,1,0,Petco Park,67,Sunny,12,L To R
413694,2015,2015-04-09,day,TEX,OAK,10,1,O.co Coliseum,58,Partly Cloudy,7,Out To RF
413695,2015,2015-04-09,night,TOR,NYY,6,3,Yankee Stadium,42,Overcast,7,L To R
413696,2015,2015-04-10,night,BOS,NYY,6,5,Yankee Stadium,55,Cloudy,11,R To L
413697,2015,2015-04-10,day,CHC,COL,1,5,Coors Field,61,Partly Cloudy,7,R To L
413698,2015,2015-04-10,day,DET,CLE,8,4,Progressive Field,53,Sunny,17,L To R
413699,2015,2015-04-10,day,HOU,TEX,5,1,Globe Life Park in Arlington,65,Partly Cloudy,6,In From LF
413700,2015,2015-04-10,night,KC,LAA,4,2,Angel Stadium of Anaheim,67,Partly Cloudy,7,Out To CF
413701,2015,2015-04-10,night,LAD,AZ,3,4,Chase Field,82,Clear,6,In From CF
413702,2015,2015-04-10,day,MIN,CWS,6,0,U.S. Cellular Field,66,Sunny,21,R To L
413703,2015,2015-04-10,night,NYM,ATL,3,5,Turner Field,65,Cloudy,6,L To R
413704,2015,2015-04-10,night,PIT,MIL,6,2,Miller Park,66,Roof Closed,0,None
413705,2015,2015-04-10,night,SEA,OAK,0,12,O.co Coliseum,60,Clear,3,Out To RF
413706,2015,2015-04-10,night,SF,SD,0,1,Petco Park,64,Cloudy,7,Varies
413707,2015,2015-04-10,night,STL,CIN,4,5,Great American Ball Park,64,Clear,11,R To L
413708,2015,2015-04-10,night,TB,MIA,9,10,loanDepot Park,75,Roof Closed,0,None
413709,2015,2015-04-10,day,TOR,BAL,12,5,Oriole Park at Camden Yards,51,Rain,2,R To L
413710,2015,2015-04-10,night,WSH,PHI,1,4,Citizens Bank Park,57,Cloudy,11,Out To RF
413711,2015,2015-04-11,day,BOS,NYY,8,4,Yankee Stadium,55,Partly Cloudy,21,L To R
413712,2015,2015-04-11,night,CHC,COL,9,5,Coors Field,67,Partly Cloudy,2,L To R
413713,2015,2015-04-11,day,DET,CLE,9,6,Progressive Field,53,Sunny,4,L To R
413714,2015,2015-04-11,night,HOU,TEX,2,6,Globe Life Park in Arlington,71,Partly Cloudy,6,L To R
413715,2015,2015-04-11,night,KC,LAA,6,4,Angel Stadium of Anaheim,68,Clear,6,Out To RF
413716,2015,2015-04-11,night,LAD,AZ,0,6,Chase Field,83,Sunny,10,Varies
413717,2015,2015-04-11,day,MIN,CWS,4,5,U.S. Cellular Field,72,Sunny,7,R To L
413718,2015,2015-04-11,night,NYM,ATL,3,5,Turner Field,76,Partly Cloudy,8,L To R
413719,2015,2015-04-11,night,PIT,MIL,0,6,Miller Park,69,Roof Closed,0,None
413720,2015,2015-04-11,day,SEA,OAK,5,4,O.co Coliseum,63,Partly Cloudy,3,Out To RF
413721,2015,2015-04-11,night,SF,SD,2,10,Petco Park,67,Sunny,10,R To L
413722,2015,2015-04-11,day,STL,CIN,4,1,Great American Ball Park,56,Sunny,4,L To R
413723,2015,2015-04-11,day,TB,MIA,2,0,loanDepot Park,75,Roof Closed,0,None
413724,2015,2015-04-11,night,TOR,BAL,1,7,Oriole Park at Camden Yards,61,Clear,14,Out To LF
413725,2015,2015-04-11,night,WSH,PHI,2,3,Citizens Bank Park,61,Clear,10,In From LF
413726,2015,2015-04-12,night,BOS,NYY,4,14,Yankee Stadium,54,Clear,12,Out To LF
413727,2015,2015-04-12,day,CHC,COL,6,5,Coors Field,65,Partly Cloudy,13,In From RF
413728,2015,2015-04-12,day,DET,CLE,8,5,Progressive Field,60,Sunny,8,In From CF
413729,2015,2015-04-12,day,HOU,TEX,6,4,Globe Life Park in Arlington,73,Cloudy,10,R To L
413730,2015,2015-04-12,day,KC,LAA,9,2,Angel Stadium of Anaheim,73,Sunny,4,L To R
413731,2015,2015-04-12,day,LAD,AZ,7,4,Chase Field,77,Partly Cloudy,8,Out To CF
413732,2015,2015-04-12,day,MIN,CWS,2,6,U.S. Cellular Field,71,Partly Cloudy,14,R To L
413733,2015,2015-04-12,day,NYM,ATL,4,3,Turner Field,63,Cloudy,8,R To L
413734,2015,2015-04-12,day,PIT,MIL,10,2,Miller Park,70,Roof Closed,0,None
413735,2015,2015-04-12,day,SEA,OAK,8,7,O.co Coliseum,67,Partly Cloudy,7,Out To RF
413736,2015,2015-04-12,day,SF,SD,4,6,Petco Park,67,Sunny,9,L To R
413737,2015,2015-04-12,day,STL,CIN,7,5,Great American Ball Park,67,Sunny,4,R To L
413738,2015,2015-04-12,day,TB,MIA,8,5,loanDepot Park,74,Roof Closed,0,None
413739,2015,2015-04-12,day,TOR,BAL,10,7,Oriole Park at Camden Yards,60,Sunny,3,L To R
413740,2015,2015-04-12,day,WSH,PHI,4,3,Citizens Bank Park,62,Sunny,3,Out To CF
413741,2015,2015-04-13,night,LAA,TEX,6,3,Globe Life Park in Arlington,64,Cloudy,15,L To R
413742,2015,2015-04-13,night,AZ,SD,8,4,Petco Park,64,Partly Cloudy,10,R To L
413743,2015,2015-04-13,night,CIN,CHC,6,7,Wrigley Field,62,Partly Cloudy,15,L To R
413744,2015,2015-04-13,day,COL,SF,2,0,AT&T Park,63,Partly Cloudy,10,Out To CF
413745,2015,2015-04-13,day,DET,PIT,4,5,PNC Park,76,Partly Cloudy,16,Out To LF
413746,2015,2015-04-13,day,KC,MIN,12,3,Target Field,61,Partly Cloudy,21,Out To CF
413747,2015,2015-04-13,night,MIA,ATL,2,3,Turner Field,67,Overcast,3,R To L
413748,2015,2015-04-13,day,MIL,STL,5,4,Busch Stadium,67,Cloudy,12,In From LF
413749,2015,2015-04-13,night,NYY,BAL,6,5,Oriole Park at Camden Yards,68,Clear,9,In From LF
413750,2015,2015-04-13,night,OAK,HOU,8,1,Daikin Park,82,Partly Cloudy,8,R To L
413751,2015,2015-04-13,day,PHI,NYM,0,2,Citi Field,63,Sunny,9,Out To LF
413752,2015,2015-04-13,night,SEA,LAD,5,6,Dodger Stadium,67,Clear,3,Out To RF
413753,2015,2015-04-13,night,TB,TOR,2,1,Rogers Centre,68,Roof Closed,0,None
413754,2015,2015-04-13,day,WSH,BOS,4,9,Fenway Park,69,Partly Cloudy,16,Out To LF
413755,2015,2015-04-14,night,LAA,TEX,2,8,Globe Life Park in Arlington,60,Cloudy,3,L To R
413756,2015,2015-04-14,night,AZ,SD,1,5,Petco Park,66,Clear,8,L To R
413757,2015,2015-04-14,night,CWS,CLE,4,1,Progressive Field,48,Cloudy,6,In From CF
413758,2015,2015-04-14,night,CIN,CHC,3,2,Wrigley Field,51,Partly Cloudy,2,In From CF
413759,2015,2015-04-14,night,COL,SF,4,1,AT&T Park,58,Clear,22,Out To CF
413760,2015,2015-04-14,night,DET,PIT,2,0,PNC Park,63,Cloudy,7,In From RF
413761,2015,2015-04-14,night,MIA,ATL,8,2,Turner Field,79,Partly Cloudy,7,L To R
413762,2015,2015-04-14,night,NYY,BAL,3,4,Oriole Park at Camden Yards,56,Overcast,4,In From CF
413763,2015,2015-04-14,night,OAK,HOU,4,0,Daikin Park,73,Roof Closed,0,None
413764,2015,2015-04-14,night,PHI,NYM,5,6,Citi Field,65,Cloudy,8,In From RF
413765,2015,2015-04-14,night,SEA,LAD,5,6,Dodger Stadium,67,Clear,0,None
413766,2015,2015-04-14,night,TB,TOR,3,2,Rogers Centre,68,Roof Closed,0,None
413767,2015,2015-04-14,night,WSH,BOS,7,8,Fenway Park,63,Cloudy,11,L To R
413768,2015,2015-04-15,day,LAA,TEX,10,2,Globe Life Park in Arlington,70,Sunny,3,In From RF
413769,2015,2015-04-15,night,AZ,SD,2,3,Petco Park,70,Clear,8,Out To RF
413770,2015,2015-04-15,day,CWS,CLE,2,4,Progressive Field,52,Partly Cloudy,11,In From CF
413771,2015,2015-04-15,night,CIN,CHC,0,5,Wrigley Field,49,Partly Cloudy,18,In From RF
413772,2015,2015-04-15,night,COL,SF,4,2,AT&T Park,64,Clear,16,Out To CF
413773,2015,2015-04-15,night,DET,PIT,1,0,PNC Park,64,Cloudy,9,In From LF
413774,2015,2015-04-15,night,KC,MIN,1,3,Target Field,67,Partly Cloudy,16,R To L
413775,2015,2015-04-15,day,MIA,ATL,6,2,Turner Field,68,Cloudy,2,R To L
413776,2015,2015-04-15,night,MIL,STL,2,4,Busch Stadium,64,Cloudy,11,In From RF
413777,2015,2015-04-15,night,NYY,BAL,5,7,Oriole Park at Camden Yards,66,Overcast,1,Out To CF
413778,2015,2015-04-15,night,OAK,HOU,1,6,Daikin Park,78,Clear,5,In From LF
413779,2015,2015-04-15,night,PHI,NYM,1,6,Citi Field,66,Partly Cloudy,14,In From LF
413780,2015,2015-04-15,night,SEA,LAD,2,5,Dodger Stadium,72,Clear,5,Out To RF
413781,2015,2015-04-15,night,TB,TOR,7,12,Rogers Centre,68,Roof Closed,0,None
413782,2015,2015-04-15,day,WSH,BOS,10,5,Fenway Park,66,Partly Cloudy,10,In From LF
413783,2015,2015-04-16,night,AZ,SF,7,6,AT&T Park,62,Clear,12,Out To RF
413784,2015,2015-04-16,day,KC,MIN,5,8,Target Field,63,Partly Cloudy,8,R To L
413785,2015,2015-04-16,night,MIA,NYM,5,7,Citi Field,59,Clear,11,Out To LF
413786,2015,2015-04-16,day,MIL,STL,0,4,Busch Stadium,72,Partly Cloudy,1,In From CF
413787,2015,2015-04-16,night,PHI,WSH,2,5,Nationals Park,70,Cloudy,5,Out To LF
413788,2015,2015-04-16,night,TB,TOR,4,2,Rogers Centre,68,Roof Closed,0,None
413789,2015,2015-04-17,night,LAA,HOU,6,3,Daikin Park,73,Roof Closed,0,None
413790,2015,2015-04-17,night,AZ,SF,9,0,AT&T Park,54,Clear,11,Out To CF
413791,2015,2015-04-17,night,ATL,TOR,8,7,Rogers Centre,68,Roof Closed,0,None
413792,2015,2015-04-17,night,BAL,BOS,2,3,Fenway Park,64,Cloudy,14,Out To RF
413793,2015,2015-04-17,day,CWS,DET,1,2,Comerica Park,64,Sunny,2,L To R
413794,2015,2015-04-17,night,CIN,STL,1,6,Busch Stadium,77,Clear,3,R To L
413795,2015,2015-04-17,night,CLE,MIN,2,3,Target Field,74,Partly Cloudy,7,Out To CF
413796,2015,2015-04-17,night,COL,LAD,3,7,Dodger Stadium,73,Clear,7,Out To RF
413797,2015,2015-04-17,night,MIA,NYM,1,4,Citi Field,68,Partly Cloudy,9,Out To RF
413798,2015,2015-04-17,night,MIL,PIT,3,6,PNC Park,77,Partly Cloudy,7,Out To LF
413799,2015,2015-04-17,night,NYY,TB,5,4,Tropicana Field,72,Dome,0,None
413800,2015,2015-04-17,night,OAK,KC,4,6,Kauffman Stadium,74,Cloudy,5,R To L
413801,2015,2015-04-17,night,PHI,WSH,2,7,Nationals Park,71,Cloudy,4,Out To RF
413802,2015,2015-04-17,day,SD,CHC,5,4,Wrigley Field,55,Partly Cloudy,9,R To L
413803,2015,2015-04-17,night,TEX,SEA,3,1,Safeco Field,59,Clear,6,In From LF
413804,2015,2015-04-18,night,LAA,HOU,0,4,Daikin Park,73,Roof Closed,0,None
413805,2015,2015-04-18,night,AZ,SF,1,4,AT&T Park,62,Clear,12,Out To CF
413806,2015,2015-04-18,day,ATL,TOR,5,6,Rogers Centre,68,Roof Closed,0,None
413807,2015,2015-04-18,day,BAL,BOS,4,1,Fenway Park,47,Sunny,10,In From RF
413808,2015,2015-04-18,day,CWS,DET,12,3,Comerica Park,70,Sunny,15,L To R
413809,2015,2015-04-18,day,CIN,STL,2,5,Busch Stadium,75,Cloudy,7,R To L
413810,2015,2015-04-18,day,CLE,MIN,4,2,Target Field,67,Partly Cloudy,11,In From RF
413811,2015,2015-04-18,night,COL,LAD,3,6,Dodger Stadium,72,Clear,6,Out To CF
413812,2015,2015-04-18,night,MIA,NYM,4,5,Citi Field,73,Partly Cloudy,10,Out To LF
413813,2015,2015-04-18,night,MIL,PIT,2,6,PNC Park,73,Partly Cloudy,7,In From LF
413814,2015,2015-04-18,night,NYY,TB,9,0,Tropicana Field,72,Dome,0,None
413815,2015,2015-04-18,night,OAK,KC,5,0,Kauffman Stadium,65,Partly Cloudy,6,R To L
413816,2015,2015-04-18,day,PHI,WSH,5,3,Nationals Park,77,Sunny,3,Out To RF
413817,2015,2015-04-18,day,SD,CHC,6,7,Wrigley Field,43,Partly Cloudy,19,In From LF
413818,2015,2015-04-18,night,TEX,SEA,1,3,Safeco Field,62,Clear,5,In From LF
413819,2015,2015-04-19,day,LAA,HOU,3,4,Daikin Park,73,Roof Closed,0,None
413820,2015,2015-04-19,day,AZ,SF,5,1,AT&T Park,61,Cloudy,10,Out To RF
413821,2015,2015-04-19,day,ATL,TOR,5,2,Rogers Centre,68,Roof Closed,0,None
413822,2015,2015-04-19,day,BAL,BOS,8,3,Fenway Park,49,Sunny,13,In From RF
413823,2015,2015-04-19,day,CWS,DET,1,9,Comerica Park,54,Partly Cloudy,17,L To R
413824,2015,2015-04-19,night,CIN,STL,1,2,Busch Stadium,62,Overcast,6,L To R
413825,2015,2015-04-19,day,CLE,MIN,2,7,Target Field,58,Overcast,6,R To L
413826,2015,2015-04-19,day,COL,LAD,0,7,Dodger Stadium,76,Sunny,5,L To R
413827,2015,2015-04-19,day,MIA,NYM,6,7,Citi Field,58,Partly Cloudy,10,In From RF
413828,2015,2015-04-19,day,MIL,PIT,2,5,PNC Park,70,Partly Cloudy,14,L To R
413829,2015,2015-04-19,day,NYY,TB,5,3,Tropicana Field,72,Dome,0,None
413830,2015,2015-04-19,day,OAK,KC,2,4,Kauffman Stadium,65,Cloudy,11,L To R
413831,2015,2015-04-19,day,PHI,WSH,1,4,Nationals Park,68,Cloudy,8,In From RF
413832,2015,2015-04-19,day,SD,CHC,5,2,Wrigley Field,53,Partly Cloudy,15,R To L
413833,2015,2015-04-19,day,TEX,SEA,10,11,Safeco Field,64,Sunny,5,L To R
413834,2015,2015-04-20,day,BAL,BOS,1,7,Fenway Park,44,Cloudy,17,In From RF
413835,2015,2015-04-20,night,CHC,PIT,5,2,PNC Park,60,Cloudy,18,Out To CF
413836,2015,2015-04-20,night,CIN,MIL,6,1,Miller Park,63,Roof Closed,0,None
413837,2015,2015-04-20,night,CLE,CWS,3,4,U.S. Cellular Field,46,Overcast,24,Out To LF
413838,2015,2015-04-20,night,HOU,SEA,7,5,Safeco Field,70,Clear,2,Out To RF
413839,2015,2015-04-20,night,MIN,KC,1,7,Kauffman Stadium,58,Partly Cloudy,13,L To R
413840,2015,2015-04-20,night,NYY,DET,1,2,Comerica Park,52,Overcast,22,R To L
413841,2015,2015-04-20,night,OAK,LAA,6,3,Angel Stadium of Anaheim,70,Clear,8,Out To RF
413842,2015,2015-04-20,night,SD,COL,14,3,Coors Field,52,Partly Cloudy,2,Out To CF
413843,2015,2015-04-21,night,ATL,NYM,1,7,Citi Field,63,Clear,17,Out To RF
413844,2015,2015-04-21,night,BAL,TOR,6,13,Rogers Centre,68,Roof Closed,0,None
413845,2015,2015-04-21,night,BOS,TB,1,0,Tropicana Field,72,Dome,0,None
413846,2015,2015-04-21,night,CHC,PIT,9,8,PNC Park,55,Cloudy,21,Out To CF
413847,2015,2015-04-21,night,CIN,MIL,16,10,Miller Park,62,Roof Closed,0,None
413848,2015,2015-04-21,night,CLE,CWS,6,2,U.S. Cellular Field,46,Partly Cloudy,21,Out To CF
413849,2015,2015-04-21,night,HOU,SEA,6,3,Safeco Field,50,Roof Closed,0,None
413850,2015,2015-04-21,night,LAD,SF,2,6,AT&T Park,55,Overcast,15,Out To CF
413851,2015,2015-04-21,night,MIA,PHI,3,7,Citizens Bank Park,64,Clear,14,L To R
413852,2015,2015-04-21,night,MIN,KC,5,6,Kauffman Stadium,68,Clear,8,L To R
413853,2015,2015-04-21,night,NYY,DET,5,2,Comerica Park,50,Partly Cloudy,24,R To L
413854,2015,2015-04-21,night,OAK,LAA,1,14,Angel Stadium of Anaheim,66,Partly Cloudy,8,Out To RF
413855,2015,2015-04-21,night,SD,COL,7,6,Coors Field,60,Cloudy,11,Out To LF
413856,2015,2015-04-21,night,STL,WSH,1,2,Nationals Park,65,Partly Cloudy,8,In From LF
413857,2015,2015-04-21,night,TEX,AZ,7,1,Chase Field,86,Partly Cloudy,8,Out To RF
413858,2015,2015-04-22,night,ATL,NYM,2,3,Citi Field,55,Overcast,15,Out To LF
413859,2015,2015-04-22,night,BAL,TOR,2,4,Rogers Centre,68,Roof Closed,0,None
413860,2015,2015-04-22,night,BOS,TB,5,7,Tropicana Field,72,Dome,0,None
413861,2015,2015-04-22,night,CHC,PIT,3,4,PNC Park,42,Cloudy,13,Out To CF
413862,2015,2015-04-22,night,CIN,MIL,2,1,Miller Park,64,Roof Closed,0,None
413863,2015,2015-04-22,day,CLE,CWS,0,6,U.S. Cellular Field,43,Cloudy,18,Out To RF
413864,2015,2015-04-22,night,HOU,SEA,2,3,Safeco Field,56,Clear,1,L To R
413865,2015,2015-04-22,night,LAD,SF,2,3,AT&T Park,59,Partly Cloudy,12,Out To CF
413866,2015,2015-04-22,night,MIA,PHI,6,1,Citizens Bank Park,55,Cloudy,7,Out To CF
413867,2015,2015-04-22,night,MIN,KC,3,0,Kauffman Stadium,56,Partly Cloudy,3,Out To RF
413868,2015,2015-04-22,night,NYY,DET,13,4,Comerica Park,38,Overcast,15,R To L
413869,2015,2015-04-22,night,OAK,LAA,9,2,Angel Stadium of Anaheim,64,Cloudy,2,L To R
413870,2015,2015-04-22,night,SD,COL,4,5,Coors Field,56,Cloudy,11,R To L
413871,2015,2015-04-22,night,STL,WSH,7,5,Nationals Park,55,Partly Cloudy,5,L To R
413872,2015,2015-04-22,night,TEX,AZ,5,8,Chase Field,85,Clear,6,In From CF
413873,2015,2015-04-23,day,ATL,NYM,3,6,Citi Field,49,Cloudy,17,Out To RF
413874,2015,2015-04-23,night,BAL,TOR,6,7,Rogers Centre,68,Roof Closed,0,None
413875,2015,2015-04-23,night,BOS,TB,1,2,Tropicana Field,72,Dome,0,None
413876,2015,2015-04-23,day,CHC,PIT,4,5,PNC Park,43,Cloudy,17,Out To CF
413877,2015,2015-04-23,day,CIN,MIL,2,4,Miller Park,66,Roof Closed,0,None
413878,2015,2015-04-23,night,KC,CWS,3,2,U.S. Cellular Field,50,Clear,11,In From LF
413879,2015,2015-04-23,day,LAD,SF,2,3,AT&T Park,60,Sunny,9,Out To LF
413880,2015,2015-04-23,day,MIA,PHI,9,1,Citizens Bank Park,49,Cloudy,18,In From LF
413881,2015,2015-04-23,day,NYY,DET,2,1,Comerica Park,33,Cloudy,12,Out To CF
413882,2015,2015-04-23,day,OAK,LAA,0,2,Angel Stadium of Anaheim,67,Cloudy,12,Out To CF
413883,2015,2015-04-23,day,SD,COL,1,2,Coors Field,67,Overcast,9,R To L
413884,2015,2015-04-23,day,STL,WSH,4,1,Nationals Park,55,Overcast,14,L To R
413885,2015,2015-04-24,night,ATL,PHI,0,1,Citizens Bank Park,55,Partly Cloudy,15,Out To RF
413886,2015,2015-04-24,night,BOS,BAL,7,5,Oriole Park at Camden Yards,57,Clear,7,L To R
413887,2015,2015-04-24,night,CHC,CIN,7,3,Great American Ball Park,62,Partly Cloudy,5,In From CF
413888,2015,2015-04-24,night,CLE,DET,13,1,Comerica Park,52,Clear,4,L To R
413889,2015,2015-04-24,night,HOU,OAK,5,4,O.co Coliseum,57,Partly Cloudy,13,Out To RF
413890,2015,2015-04-24,night,KC,CWS,2,3,U.S. Cellular Field,44,Overcast,13,L To R
413891,2015,2015-04-24,night,LAD,SD,3,0,Petco Park,62,Cloudy,9,L To R
413892,2015,2015-04-24,night,MIN,SEA,0,2,Safeco Field,54,Partly Cloudy,1,Varies
413893,2015,2015-04-24,night,NYM,NYY,1,6,Yankee Stadium,46,Partly Cloudy,11,L To R
413894,2015,2015-04-24,night,PIT,AZ,4,1,Chase Field,77,Clear,5,Varies
413895,2015,2015-04-24,night,SF,COL,4,6,Coors Field,58,Overcast,6,Out To RF
413896,2015,2015-04-24,night,STL,MIL,3,0,Miller Park,65,Roof Closed,0,None
413897,2015,2015-04-24,night,TEX,LAA,2,3,Angel Stadium of Anaheim,62,Cloudy,7,Out To CF
413898,2015,2015-04-24,night,TOR,TB,3,12,Tropicana Field,72,Dome,0,None
413899,2015,2015-04-24,night,WSH,MIA,2,3,loanDepot Park,75,Roof Closed,0,None
413900,2015,2015-04-25,night,ATL,PHI,5,2,Citizens Bank Park,57,Cloudy,11,Out To RF
413901,2015,2015-04-25,night,BOS,BAL,4,5,Oriole Park at Camden Yards,51,Overcast,5,Out To RF
413903,2015,2015-04-25,day,CLE,DET,1,4,Comerica Park,44,Cloudy,12,In From LF
413904,2015,2015-04-25,day,HOU,OAK,9,3,O.co Coliseum,58,Cloudy,11,Out To RF
413906,2015,2015-04-25,night,LAD,SD,11,8,Petco Park,65,Overcast,15,Out To RF
413907,2015,2015-04-25,night,MIN,SEA,8,5,Safeco Field,54,Cloudy,3,Out To RF
413908,2015,2015-04-25,day,NYM,NYY,8,2,Yankee Stadium,57,Sunny,12,Varies
413909,2015,2015-04-25,night,PIT,AZ,2,1,Chase Field,77,Cloudy,15,Varies
413910,2015,2015-04-25,night,SF,COL,5,4,Coors Field,59,Partly Cloudy,3,In From LF
413911,2015,2015-04-25,night,STL,MIL,5,3,Miller Park,65,Roof Closed,0,None
413912,2015,2015-04-25,night,TEX,LAA,1,4,Angel Stadium of Anaheim,63,Cloudy,5,L To R
413913,2015,2015-04-25,night,TOR,TB,2,4,Tropicana Field,72,Dome,0,None
413914,2015,2015-04-25,day,WSH,MIA,0,8,loanDepot Park,72,Roof Closed,0,None
413915,2015,2015-04-26,day,ATL,PHI,4,5,Citizens Bank Park,61,Partly Cloudy,5,In From RF
413916,2015,2015-04-26,day,BOS,BAL,7,18,Oriole Park at Camden Yards,61,Sunny,3,In From LF
413917,2015,2015-04-26,day,CHC,CIN,5,2,Great American Ball Park,56,Sunny,12,Out To RF
413918,2015,2015-04-26,day,CLE,DET,6,8,Comerica Park,53,Sunny,16,Out To RF
413919,2015,2015-04-26,day,HOU,OAK,7,6,O.co Coliseum,65,Partly Cloudy,6,Out To RF
413920,2015,2015-04-26,day,KC,CWS,3,5,U.S. Cellular Field,54,Sunny,15,Out To RF
413921,2015,2015-04-26,day,LAD,SD,1,3,Petco Park,66,Partly Cloudy,11,L To R
413922,2015,2015-04-26,day,MIN,SEA,4,2,Safeco Field,56,Overcast,0,None
413923,2015,2015-04-26,night,NYM,NYY,4,6,Yankee Stadium,56,Cloudy,5,R To L
413924,2015,2015-04-26,day,PIT,AZ,8,0,Chase Field,72,Partly Cloudy,5,Varies
413926,2015,2015-04-26,day,STL,MIL,3,6,Miller Park,69,Roof Closed,0,None
413927,2015,2015-04-26,day,TEX,LAA,5,4,Angel Stadium of Anaheim,70,Sunny,3,Out To RF
413928,2015,2015-04-26,day,TOR,TB,1,5,Tropicana Field,72,Dome,0,None
413929,2015,2015-04-26,day,WSH,MIA,2,6,loanDepot Park,76,Roof Closed,0,None
413931,2015,2015-04-27,night,COL,AZ,5,4,Chase Field,85,Clear,5,Out To RF
413932,2015,2015-04-27,night,DET,MIN,5,4,Target Field,69,Clear,6,In From LF
413933,2015,2015-04-27,night,HOU,SD,9,4,Petco Park,73,Clear,8,L To R
413934,2015,2015-04-27,night,KC,CLE,6,2,Progressive Field,44,Cloudy,13,L To R
413935,2015,2015-04-27,night,MIL,CIN,6,9,Great American Ball Park,59,Cloudy,13,L To R
