Year,PlayerId,Name,RunnerRuns,RunnerRunsXB,RunnerRunsSB,Opportunities
2016,134181,"Beltré, Adrian",-2.021945485675404,-1.6777885959705634,-0.34415688970484,49
2016,136860,"Beltrán, Carlos",-2.611177260269939,-2.811872315836018,0.2006950555660788,37
2016,150029,"Werth, Jayson",-0.4717119117384963,-1.0280105307130127,0.5562986189745164,53
2016,400085,"Suzuki, Ichiro",1.5227635157845256,0.4304949463717843,1.0922685694127412,47
2016,400284,"Utley, Chase",0.4835811058492616,0.8723171258624617,-0.3887360200132,48
2016,408045,"Mauer, Joe",-0.2861586964871894,-0.5861736884404065,0.3000149919532171,38
2016,408234,"Cabrera, Miguel",-6.250600359175993,-6.230426644811595,-0.0201737143643986,43
2016,408252,"Phillips, Brandon",-4.239332011336725,-3.5805958310812973,-0.6587361802554283,61
2016,408314,"Reyes, José",1.5157025447206962,0.6658006483619221,0.8499018963587742,38
2016,424825,"Crisp, Coco",-0.0956652511616465,0.3744526295488435,-0.4701178807104901,54
2016,425834,"Upton, B.J.",2.5345452643275013,1.2359833430184894,1.2985619213090118,56
2016,425877,"Molina, Yadier",-1.836280333846049,-2.492984381715145,0.6567040478690963,38
2016,429664,"Canó, Robinson",-3.34710667527328,-3.4418244067293373,0.0947177314560575,43
2016,429665,"Encarnación, Edwin",-1.6777764256813643,-1.857486465211323,0.1797100395299586,42
2016,429666,"Hardy, J.J.",-1.922467983783659,-1.9212873905386496,-0.0011805932450088,41
2016,430832,"Bautista, José",-3.740617224851767,-2.9847768328415603,-0.7558403920102065,42
2016,430945,"Jones, Adam",1.86549867623312,2.185560452177576,-0.3200617759444559,42
2016,434158,"Granderson, Curtis",-0.25198192031139,-0.0221010525903339,-0.229880867721056,54
2016,434636,"Pagán, Ángel",2.3914032747116054,2.030961340880428,0.3604419338311775,58
2016,434658,"Davis, Rajai",6.247405636985426,1.8768401381628288,4.370565498822597,89
2016,434670,"Ramirez, Hanley",-2.788498617973135,-3.0931405483624688,0.3046419303893335,53
2016,435062,"Kendrick, Howie",3.1648327939625287,2.8495933811468843,0.3152394128156442,55
2016,435063,"Napoli, Mike",-4.079931325008836,-4.25111219546661,0.1711808704577744,43
2016,435079,"Kinsler, Ian",0.9582651896829611,1.5502022045421409,-0.5919370148591796,81
2016,435622,"Desmond, Ian",2.202473891067509,0.6605151674284103,1.5419587236390986,77
2016,443558,"Cruz, Nelson",0.1440364541301133,-0.2700072610885968,0.4140437152187102,42
2016,444432,"Trumbo, Mark",-0.2852487212876644,-0.4338037017530525,0.1485549804653881,38
2016,444876,"Escobar, Alcides",1.0299367812841784,0.4419187714253972,0.5880180098587813,64
2016,445055,"Jay, Jon",2.835168725468333,2.609092638897517,0.2260760865708152,41
2016,445988,"Prado, Martín",1.7963323181992894,2.6272854603601616,-0.8309531421608722,60
2016,446334,"Longoria, Evan",0.1444736318785002,1.3813243669785982,-1.236850735100098,50
2016,446359,"Cozart, Zack",0.1059231582003972,-0.0516849550003797,0.157608113200777,41
2016,446386,"Guyer, Brandon",-0.2833385714501744,0.09032446833431,-0.3736630397844844,38
2016,448602,"Reynolds, Mark",-3.311785761600041,-2.041907821324509,-1.2698779402755314,39
2016,448801,"Davis, Chris",-0.8822145869266618,-1.2638385057671429,0.3816239188404811,43
2016,449181,"Orlando, Paulo",3.902246464269736,3.1336775661111145,0.7685688981586216,63
2016,450314,"Zobrist, Ben",1.6635881854928187,2.601948229933292,-0.9383600444404732,60
2016,451594,"Fowler, Dexter",7.008749948450145,5.698713164439185,1.3100367840109606,71
2016,452104,"Headley, Chase",-9.12580500703e-05,0.1678030580556402,-0.1678943161057106,43
2016,452254,"Pence, Hunter",-0.1708356225145103,0.1264912298744795,-0.2973268523889898,40
2016,452655,"Span, Denard",1.9504318725565568,1.5807369625716727,0.3696949099848839,69
2016,452678,"Cabrera, Asdrúbal",-3.790443921272604,-3.7781929968115047,-0.0122509244610993,52
2016,453056,"Ellsbury, Jacoby",2.6634127537693706,1.7605424404117458,0.9028703133576248,68
2016,453568,"Blackmon, Charlie",1.540122387757349,3.2190059823795507,-1.6788835946222014,102
2016,453943,"Frazier, Todd",0.3860711548658422,-1.7127271036471488,2.098798258512991,56
2016,455976,"Markakis, Nick",-2.184416371659237,-1.3223305977340718,-0.8620857739251652,53
2016,456030,"Pedroia, Dustin",-0.1345720899271565,0.2249667800875255,-0.3595388700146821,64
2016,456422,"Bourn, Michael",1.3152344203014792,-0.2293091099955972,1.5445435302970765,52
2016,456488,"Núñez, Eduardo",2.3108963388508426,-1.2738664272740845,3.584762766124927,85
2016,456715,"Cain, Lorenzo",0.8132994851221116,1.2828487127744126,-0.4695492276523009,57
2016,457705,"McCutchen, Andrew",-2.956953532283831,-0.8686089747277888,-2.0883445575560424,49
2016,457708,"Upton, Justin",1.127083597428831,1.0109976346883354,0.1160859627404954,48
2016,457727,"Maybin, Cameron",3.4174359788845203,2.468302423852924,0.9491335550315964,53
2016,457759,"Turner, Justin",-0.7227735633062954,-1.5381991764001914,0.815425613093896,52
2016,457763,"Posey, Buster",-2.943897017211785,-3.0500642804623888,0.1061672632506034,50
